Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
12937,,S,Djebali,"IRSD, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France.",France,Université de Toulouse
12938,,S,Foissac,"GenPhySE UMR 1388, INRA, INPT, ENVT, Université de Toulouse, 31326, Castanet-Tolosan, France.",France,Université de Toulouse
12939,,T,Derrien,"IGDR UMR 6290, Univ Rennes, CNRS, 35000, Rennes, France.",France,Unparsed
12940,,F,Pitel,"GenPhySE UMR 1388, INRA, INPT, ENVT, Université de Toulouse, 31326, Castanet-Tolosan, France.",France,Université de Toulouse
12941,,T,Zerjal,"GABI UMR 1313, INRA, AgroParisTech, Université Paris-Saclay, 78350, Jouy-en-Josas, France.",France,Université Paris-Saclay
12942,,C,Klopp,"SIGENAE Platform, INRA, 31326, Castanet-Tolosan, France. christophe.klopp@inrae.fr.",France,Unparsed
12943,,S,Lagarrigue,"PEGASE UMR 1348, INRA, AGROCAMPUS OUEST, 35590, Saint-Gilles, France. sandrine.lagarrigue@agrocampus-ouest.fr.",France,Unparsed
12944,,M,Audano,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy.",Italy,Università degli Studi di Milano
12945,,S,Pedretti,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy.",Italy,Università degli Studi di Milano
12946,,D,Caruso,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy.",Italy,Università degli Studi di Milano
12947,,M,Crestani,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy.",Italy,Università degli Studi di Milano
12948,,E,De Fabiani,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy. emma.defabiani@unimi.it.",Italy,Università degli Studi di Milano
12949,,N,Mitro,"DiSFeB, Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, 20133, Milan, Italy. nico.mitro@unimi.it.",Italy,Università degli Studi di Milano
12950,,TF,Cardoso,"Embrapa Pecuária Sudeste, Rodovia Washington Luiz, Km 234, s/n, Fazenda Canchim, São Carlos, SP 339, Brazil.",Brazil,Unparsed
12951,,LL,Coutinho,"Department of Animal Science, ""Luiz de Queiroz"" College of Agriculture, University of São Paulo/ESALQ, Piracicaba, SP 13418-900, Brazil.",Brazil,University of São Paulo/ESALQ
12952,,JJ,Bruscadin,"Departamento de Genética e Evolução, Universidade Federal de São Carlos (UFSCar), São Carlos, SP 13565-905, Brazil.",Brazil,Universidade Federal de São Carlos (UFSCar)
12953,,WJ,da Silva Diniz,"Department of Animal Sciences, North Dakota State University, Fargo, ND 58105, USA.",USA,North Dakota State University
12954,,J,Petrini,"Department of Animal Science, ""Luiz de Queiroz"" College of Agriculture, University of São Paulo/ESALQ, Piracicaba, SP 13418-900, Brazil.",Brazil,University of São Paulo/ESALQ
12955,,BGN,Andrade,"Embrapa Pecuária Sudeste, Rodovia Washington Luiz, Km 234, s/n, Fazenda Canchim, São Carlos, SP 339, Brazil.",Brazil,Unparsed
12956,,PSN,de Oliveira,"Departamento de Genética e Evolução, Universidade Federal de São Carlos (UFSCar), São Carlos, SP 13565-905, Brazil.",Brazil,Universidade Federal de São Carlos (UFSCar)
12957,,MD,Poleti,"Department of Veterinary Medicine, Faculty of Animal Science and Food Engineering, University of São Paulo (USP), Pirassununga, SP 13635-900, Brazil.",Brazil,University of São Paulo (USP)
12958,,ASM,Cesar,"Department of Agri-Food Industry, Food and Nutrition, ""Luiz de Queiroz"" College of Agriculture, University of São Paulo/ESALQ, Piracicaba, SP 13418-900, Brazil.",Brazil,University of São Paulo/ESALQ
12959,,JC,da Silveira,"Department of Veterinary Medicine, Faculty of Animal Science and Food Engineering, University of São Paulo (USP), Pirassununga, SP 13635-900, Brazil.",Brazil,University of São Paulo (USP)
12960,,MR,Chiaratti,"Departamento de Genética e Evolução, Universidade Federal de São Carlos (UFSCar), São Carlos, SP 13565-905, Brazil.",Brazil,Universidade Federal de São Carlos (UFSCar)
12961,,A,Zerlotini Neto,"Embrapa Informática Agropecuária, Campinas, SP 13083-886, Brazil.",Brazil,Unparsed
12962,,GB,Mourão,"Department of Agri-Food Industry, Food and Nutrition, ""Luiz de Queiroz"" College of Agriculture, University of São Paulo/ESALQ, Piracicaba, SP 13418-900, Brazil.",Brazil,University of São Paulo/ESALQ
12963,,LC,de Almeida Regitano,"Embrapa Pecuária Sudeste, Rodovia Washington Luiz, Km 234, s/n, Fazenda Canchim, São Carlos, SP 339, Brazil.",Brazil,Unparsed
12964,,IS,Garcia,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12965,,B,Silva-Vignato,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12966,,ASM,Cesar,"Department of Agroindustry, Food and Nutrition, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12967,,J,Petrini,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12968,,VH,da Silva,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12969,,NS,Morosini,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12970,,CP,Goes,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12971,,J,Afonso,"Embrapa Pecuária Sudeste, São Carlos, SP, Brazil.",Brazil,Unparsed
12972,,TR,da Silva,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12973,,BD,Lima,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12974,,LG,Clemente,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12975,,LCA,Regitano,"Embrapa Pecuária Sudeste, São Carlos, SP, Brazil.",Brazil,Unparsed
12976,,GB,Mourão,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil.",Brazil,University of São Paulo
12977,,LL,Coutinho,"Department of Animal Science, College of Agriculture ""Luiz de Queiroz"", University of São Paulo, Piracicaba, SP, Brazil. llcoutinho@usp.br.",Brazil,University of São Paulo
12978,,M,Hameed,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12979,,A,Wahaab,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12980,,M,Nawaz,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12981,,S,Khan,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12982,,J,Nazir,"Vaccinologist/Head Virology, Tréidlia Biovet Pty Ltd. Units, Seven Hills, NSW 2147, Australia.",Australia,Unparsed
12983,,K,Liu,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12984,,J,Wei,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12985,,Z,Ma,"Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Shanghai 200241, China.",China,Shanghai Veterinary Research Institute
12986,,H,Fan,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12987,,S,Xia,"Department of Human Cell Biology and Genetics, Southern University of Science and Technology School of Medicine, Shenzhen, China.",China,Southern University of Science and Technology School of Medicine
12988,,J,Xiang,"Department of Chemistry, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12989,,Y,Li,"Department of Radiology and Imaging Sciences, Emory University, Atlanta, GA, USA.",USA,Emory University
12990,,MO,Ross,"Department of Chemistry, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12991,,SA,Lim,"Department of Immunology, St Jude Children's Research Hospital, Memphis, TN, USA.",USA,Unparsed
12992,,F,Yang,"Department of Chemistry, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12993,,J,Tu,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12994,,L,Xie,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12995,,U,Dougherty,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12996,,FQ,Zhang,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12997,,Z,Zheng,"Department of Chemistry, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12998,,R,Zhang,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
12999,,R,Wu,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13000,,L,Dong,"Department of Systems Biology, Beckman Research Institute of City of Hope, Duarte, CA, USA.",USA,Beckman Research Institute of City of Hope
13001,,R,Su,"Department of Systems Biology, Beckman Research Institute of City of Hope, Duarte, CA, USA.",USA,Beckman Research Institute of City of Hope
13002,,X,Chen,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13003,,T,Althaus,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13004,,PA,Riedell,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13005,,PB,Jonker,"The Ben May Department for Cancer Research, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13006,,A,Muir,"The Ben May Department for Cancer Research, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13007,,GB,Lesinski,"Winship Cancer Institute, Emory University, Atlanta, GA, USA.",USA,Emory University
13008,,S,Rafiq,"Winship Cancer Institute, Emory University, Atlanta, GA, USA.",USA,Emory University
13009,,MV,Dhodapkar,"Winship Cancer Institute, Emory University, Atlanta, GA, USA.",USA,Emory University
13010,,W,Stock,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13011,,O,Odenike,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13012,,AA,Patel,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13013,,J,Opferman,"Department of Immunology, St Jude Children's Research Hospital, Memphis, TN, USA.",USA,Unparsed
13014,,T,Tsuji,"Department of Obstetrics and Gynecology, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13015,,J,Matsuzaki,"Department of Obstetrics and Gynecology, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13016,,H,Shah,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13017,,B,Faubert,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13018,,SE,Elf,"The Ben May Department for Cancer Research, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13019,,B,Layden,"Department of Medicine, University of Illinois Chicago, Chicago, IL, USA.",USA,University of Illinois Chicago
13020,,BM,Bissonnette,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13021,,YY,He,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13022,,J,Kline,"Department of Medicine, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13023,,H,Mao,"Department of Radiology and Imaging Sciences, Emory University, Atlanta, GA, USA.",USA,Emory University
13024,,K,Odunsi,"Department of Obstetrics and Gynecology, The University of Chicago, Chicago, IL, USA.",USA,The University of Chicago
13025,,X,Gao,"Department of Surgery, University of Michigan, Ann Arbor, MI, USA.",USA,University of Michigan
13026,,H,Chi,"Department of Immunology, St Jude Children's Research Hospital, Memphis, TN, USA. hongbo.chi@stjude.org.",USA,Unparsed
13027,,C,He,"Department of Chemistry, The University of Chicago, Chicago, IL, USA. chuanhe@uchicago.edu.",USA,The University of Chicago
13028,,J,Chen,"Department of Medicine, The University of Chicago, Chicago, IL, USA. jingchen@uchicago.edu.",USA,The University of Chicago
13029,,W,Kenchaiwong,"Small Ruminant Research Unit, Faculty of Veterinary Science, Mahasarakham University, Mahasarakham 44000, Thailand.",Thailand,Mahasarakham University
13030,,P,Pongthaisong,"Small Ruminant Research Unit, Faculty of Veterinary Science, Mahasarakham University, Mahasarakham 44000, Thailand.",Thailand,Mahasarakham University
13031,,S,Kananit,"Department of Animal Science, Faculty of Agriculture, Khon Kean University, Khon Kean 40002, Thailand.",Thailand,Khon Kean University
13032,,M,Duangjinda,"Department of Animal Science, Faculty of Agriculture, Khon Kean University, Khon Kean 40002, Thailand.",Thailand,Khon Kean University
13033,,W,Boonkum,"Department of Animal Science, Faculty of Agriculture, Khon Kean University, Khon Kean 40002, Thailand.",Thailand,Khon Kean University
13034,,EB,Toker,"Department of Virology, Faculty of Veterinary Medicine, Bursa Uludag University, Bursa, Turkey. edabaldan@uludag.edu.tr.",Turkey,Bursa Uludag University
13035,,K,Yeşilbağ,"Department of Virology, Faculty of Veterinary Medicine, Bursa Uludag University, Bursa, Turkey.",Turkey,Bursa Uludag University
13036,,OA,Montesinos-López,"Facultad de Telemática, Universidad de Colima, 28040, Colima, Colima, Mexico.",Mexico,Universidad de Colima
13037,,A,Montesinos-López,"Departamento de Matemáticas, Centro Universitario de Ciencias Exactas e Ingenierías (CUCEI), Universidad de Guadalajara, 44430, Guadalajara, Jalisco, Mexico. aml_uach2004@hotmail.com.",Mexico,Centro Universitario de Ciencias Exactas e Ingenierías (CUCEI)
13038,,P,Pérez-Rodríguez,"Colegio de Postgraduados, CP 56230, Montecillos, Edo. de México, Mexico.",Mexico,Unparsed
13039,,JA,Barrón-López,"Department of Animal Production (DPA), Universidad Nacional Agraria La Molina, Av. La Molina s/n La Molina, 15024, Lima, Peru.",Peru,Universidad Nacional Agraria La Molina
13040,,JWR,Martini,"Biometrics and Statistics Unit, International Maize and Wheat Improvement Center (CIMMYT), Km 45, CP 52640, Carretera Mexico-Veracruz, Mexico.",Mexico,Unparsed
13041,,SB,Fajardo-Flores,"Facultad de Telemática, Universidad de Colima, 28040, Colima, Colima, Mexico.",Mexico,Universidad de Colima
13042,,LS,Gaytan-Lugo,"School of Mechanical and Electrical Engineering, Universidad de Colima, 28040, Colima, Colima, Mexico.",Mexico,Universidad de Colima
13043,,PC,Santana-Mancilla,"Facultad de Telemática, Universidad de Colima, 28040, Colima, Colima, Mexico.",Mexico,Universidad de Colima
13044,,J,Crossa,"Biometrics and Statistics Unit, International Maize and Wheat Improvement Center (CIMMYT), Km 45, CP 52640, Carretera Mexico-Veracruz, Mexico. j.crossa@cgiar.org.",Mexico,Unparsed
13045,,M,Lin,"Department of Veterinary Biosciences, The Ohio State University, 1925 Coffey Road, Columbus, OH, 43210, USA. lin.427@osu.edu.",USA,The Ohio State University
13046,,Q,Xiong,"Department of Veterinary Biosciences, The Ohio State University, 1925 Coffey Road, Columbus, OH, 43210, USA.",USA,The Ohio State University
13047,,M,Chung,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13048,,SC,Daugherty,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13049,,S,Nagaraj,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13050,,N,Sengamalay,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13051,,S,Ott,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13052,,A,Godinez,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13053,,LJ,Tallon,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13054,,L,Sadzewicz,"Institute for Genome Sciences, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13055,,C,Fraser,"Department of Medicine, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13056,,JC,Dunning Hotopp,"Greenebaum Cancer Center, University of Maryland School of Medicine, 801 W. Baltimore St, Baltimore, MD, 21201, USA.",USA,University of Maryland School of Medicine
13057,,Y,Rikihisa,"Department of Veterinary Biosciences, The Ohio State University, 1925 Coffey Road, Columbus, OH, 43210, USA. rikihisa.1@osu.edu.",USA,The Ohio State University
13058,,R,Li,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13059,,P,Yang,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13060,,X,Dai,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13061,,H,Asadollahpour Nanaei,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13062,,W,Fang,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13063,,Z,Yang,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13064,,Y,Cai,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13065,,Z,Zheng,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13066,,X,Wang,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China.",China,Northwest A&F University
13067,,Y,Jiang,"Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Xinong Rd 22, Yangling, 712100, Shaanxi, China. yu.jiang@nwafu.edu.cn.",China,Northwest A&F University
13068,,M,Buysse,"CREES (Centre de Recherche en Écologie et Évolution de la Santé), Montpellier, France.",France,Unparsed
13069,,M,Duhayon,"CIRAD, UMR ASTRE, 34398 Montpellier, France.",France,Unparsed
13070,,F,Cantet,"IRIM, CNRS, Université de Montpellier, Montpellier, France.",France,Université de Montpellier
13071,,M,Bonazzi,"IRIM, CNRS, Université de Montpellier, Montpellier, France.",France,Université de Montpellier
13072,,O,Duron,"CREES (Centre de Recherche en Écologie et Évolution de la Santé), Montpellier, France.",France,Unparsed
13073,,RP,Dassanayake,"Agricultural Research Service, National Animal Disease Center, Ruminant Diseases and Immunology Research Unit, USDA, Ames, IA, USA. rohana.dassanayake@usda.gov.",USA,Unparsed
13074,,BM,Atkinson,"Agricultural Research Service, National Animal Disease Center, Food Safety and Enteric Pathogens Research Unit, USDA, Ames, IA, USA.",USA,Unparsed
13075,,AS,Mullis,"Department of Chemical and Biological Engineering and Nanovaccine Institute, Iowa State University, Ames, IA, USA.",USA,Iowa State University
13076,,SM,Falkenberg,"Agricultural Research Service, National Animal Disease Center, Ruminant Diseases and Immunology Research Unit, USDA, Ames, IA, USA.",USA,Unparsed
13077,,EM,Nicholson,"Virus and Prion Research Unit, National Animal Disease Center, Agricultural Research Service, United States Department of Agriculture, Ames, IA, USA.",USA,Unparsed
13078,,E,Casas,"Agricultural Research Service, National Animal Disease Center, Ruminant Diseases and Immunology Research Unit, USDA, Ames, IA, USA.",USA,Unparsed
13079,,B,Narasimhan,"Department of Chemical and Biological Engineering and Nanovaccine Institute, Iowa State University, Ames, IA, USA.",USA,Iowa State University
13080,,SMD,Bearson,"Agricultural Research Service, National Animal Disease Center, Food Safety and Enteric Pathogens Research Unit, USDA, Ames, IA, USA. shawn.bearson@usda.gov.",USA,Unparsed
13081,,X,Zhang,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13082,,X,Zhao,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13083,,G,Li,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13084,,M,Zhang,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13085,,P,Xing,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13086,,Z,Li,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China.",China,South China Agricultural University
13087,,B,Chen,"College of Animal Science and Technology, Hunan Agricultural University, Changsha, Hunan 410128, China yangh@scau.edu.cn chenbin7586@126.com wzf@scau.edu.cn.",China,Hunan Agricultural University
13088,,H,Yang,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China yangh@scau.edu.cn chenbin7586@126.com wzf@scau.edu.cn.",China,South China Agricultural University
13089,,Z,Wu,"National Engineering Research Center for Breeding Swine Industry, South China Agricultural University, Guangzhou 510642, China yangh@scau.edu.cn chenbin7586@126.com wzf@scau.edu.cn.",China,South China Agricultural University
13090,,AA,Anjorin,"Department of Microbiology (Virology Research), Lagos State University, Ojo, Lagos, Nigeria.",Nigeria,Lagos State University
13091,,OS,Ashaka,"Department of Medical Microbiology and Parasitology, College of Health Sciences, University of Ilorin, Ilorin, Nigeria.",Nigeria,University of Ilorin
13092,,SO,Tijani,"Department of Medical Microbiology and Parasitology, College of Medicine, University of Lagos, Idi-Araba, Nigeria.",Nigeria,University of Lagos
13093,,JO,Openibo,"Department of Biological Sciences, College of Science and Technology, Covenant University, Ota, Ogun State, Nigeria.",Nigeria,Covenant University
13094,,IA,Odetokun,"Department of Veterinary Public Health and Preventive Medicine, University of Ilorin, Ilorin, Kwara State, Nigeria.",Nigeria,University of Ilorin
13095,,OI,Guliy,"Institute of Biochemistry and Physiology of Plants and Microorganisms, Subdivision of the Federal State Budgetary Research Institution Saratov Federal Scientific Centre of the Russian Academy of Sciences (IBPPM RAS), 13 Prospect Entuziastov, Saratov 410049, Russia.",Russia,Institute of Biochemistry and Physiology of Plants and Microorganisms
13096,,SS,Evstigneeva,"Institute of Biochemistry and Physiology of Plants and Microorganisms, Subdivision of the Federal State Budgetary Research Institution Saratov Federal Scientific Centre of the Russian Academy of Sciences (IBPPM RAS), 13 Prospect Entuziastov, Saratov 410049, Russia.",Russia,Institute of Biochemistry and Physiology of Plants and Microorganisms
13097,,VA,Khanadeev,"Institute of Biochemistry and Physiology of Plants and Microorganisms, Subdivision of the Federal State Budgetary Research Institution Saratov Federal Scientific Centre of the Russian Academy of Sciences (IBPPM RAS), 13 Prospect Entuziastov, Saratov 410049, Russia.",Russia,Institute of Biochemistry and Physiology of Plants and Microorganisms
13098,,LA,Dykman,"Institute of Biochemistry and Physiology of Plants and Microorganisms, Subdivision of the Federal State Budgetary Research Institution Saratov Federal Scientific Centre of the Russian Academy of Sciences (IBPPM RAS), 13 Prospect Entuziastov, Saratov 410049, Russia.",Russia,Institute of Biochemistry and Physiology of Plants and Microorganisms
13099,,G,Guelfi,"Department of Veterinary Medicine, University of Perugia, 06126 Perugia, Italy.",Italy,University of Perugia
13100,,R,Pasquariello,"Department of Agricultural and Environmental Sciences, University of Milan, 20133 Milano, Italy.",Italy,University of Milan
13101,,P,Anipchenko,"Department of Veterinary Medicine, University of Perugia, 06126 Perugia, Italy.",Italy,University of Perugia
13102,,C,Capaccia,"Department of Veterinary Medicine, University of Perugia, 06126 Perugia, Italy.",Italy,University of Perugia
13103,,G,Pennarossa,"Department of Veterinary Medicine and Animal Science, University of Milan, 26900 Lodi, Italy.",Italy,University of Milan
13104,,TAL,Brevini,"Department of Veterinary Medicine and Animal Science, University of Milan, 26900 Lodi, Italy.",Italy,University of Milan
13105,,F,Gandolfi,"Department of Agricultural and Environmental Sciences, University of Milan, 20133 Milano, Italy.",Italy,University of Milan
13106,,M,Zerani,"Department of Veterinary Medicine, University of Perugia, 06126 Perugia, Italy.",Italy,University of Perugia
13107,,M,Maranesi,"Department of Veterinary Medicine, University of Perugia, 06126 Perugia, Italy.",Italy,University of Perugia
13108,,KL,Gomes Carvalho Alves,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil. Electronic address: kenialgcalves@hotmail.com.",Brazil,São Paulo State University - UNESP
13109,,YT,Granja-Salcedo,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil; Corporación Colombiana de Investigación Agropecuaria, AGROSAVIA, CI EI Nus, San Roque, Antioquía, Colombia.",Colombia,São Paulo State University - UNESP
13110,,JD,Messana,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil.",Brazil,São Paulo State University - UNESP
13111,,V,Carneiro de Souza,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil; Department of Dairy Science, Virginia Tech, Blacksburg, 24061, USA.",USA,São Paulo State University - UNESP
13112,,MJ,Generoso Ganga,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil.",Brazil,São Paulo State University - UNESP
13113,,PH,Detogni Colovate,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil.",Brazil,São Paulo State University - UNESP
13114,,LT,Kishi,"National Laboratory of Scientific Computing, Petrópolis, RJ, Brazil; Department of Technology, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil.",Brazil,São Paulo State University - UNESP
13115,,TT,Berchielli,"Department of Animal Science, School of Agrarian and Veterinarian Sciences, São Paulo State University - UNESP, Jaboticabal, SP, Brazil; INCT/CA-UFV-Department of Animal Science, Viçosa, MG, Brazil.",Brazil,São Paulo State University - UNESP
